sample,div_to_ref_4D,covered_4D,clade
SRR413604,0.007058708476387729,286313,vulgatus
SRR413605,0.006368543410108648,274003,vulgatus
SRR413606,0.00816505643600682,278014,vulgatus
SRR413609,0.006625554610048291,285561,vulgatus
SRR413610,0.06330750311147988,269968,dorei
SRR413616,0.006391404106099416,284601,vulgatus
SRR413617,0.0634227752331856,269635,dorei
SRR413618,0.0069598992231786685,285780,vulgatus
SRR413619,0.005867270090583645,285482,vulgatus
SRR413622,0.005898454065307066,285329,vulgatus
SRR413628,0.005867962115122497,286130,vulgatus
SRR413633,0.006646881361752226,285397,vulgatus
SRR413637,0.0071195428281697285,284007,vulgatus
SRR413641,0.007273572218193084,284042,vulgatus
SRR413643,0.005776337682809353,285475,vulgatus
SRR413647,0.007337666453062173,284014,vulgatus
SRR413658,0.00675381956593191,282951,vulgatus
SRR413659,0.008812178613115914,285287,vulgatus
SRR413661,0.005663025483614676,285713,vulgatus
SRR413664,0.00649041824031333,285960,vulgatus
SRR413665,0.0057761808633833515,285829,vulgatus
SRR413666,0.06352715640872149,272293,dorei
SRR413688,0.005967341093216888,284884,vulgatus
SRR413758,0.006108137706887111,283065,vulgatus
ERR911959,0.008245006772300218,279078,vulgatus
ERR911961,0.06435234644316443,272391,dorei
ERR911966,0.006061813023639324,286218,vulgatus
ERR911968,0.06507021337002337,274734,dorei
ERR911970,0.007577414507150567,283474,vulgatus
ERR911972,0.008170620325343735,283577,vulgatus
ERR911977,0.06509904622157006,272600,dorei
ERR911986,0.059464835159704355,214177,dorei
ERR911987,0.005448104827566406,278629,vulgatus
ERR911993,0.006452722143468681,284996,vulgatus
ERR911994,0.006107955042650677,285693,vulgatus
ERR911997,0.007421176453989764,283513,vulgatus
ERR911998,0.006308700542519861,281833,vulgatus
ERR911999,0.06625003168212151,276181,dorei
ERR912000,0.06608259510161542,276336,dorei
ERR912003,0.006481669029775167,286346,vulgatus
ERR912004,0.00595793528668162,283991,vulgatus
ERR912008,0.006453914850300658,285873,vulgatus
ERR912014,0.006346598707512365,284877,vulgatus
ERR912015,0.006589247976184626,284858,vulgatus
ERR912020,0.006057307395182246,284780,vulgatus
ERR912026,0.0651821158471212,276088,dorei
ERR912027,0.06567566487574335,275277,dorei
ERR912032,0.005976255835504345,285965,vulgatus
ERR912035,0.06448436576880155,274206,dorei
ERR912037,0.006926437934245398,279220,vulgatus
ERR912038,0.0060356546118773184,282488,vulgatus
ERR912039,0.0061341120907680916,286268,vulgatus
ERR912040,0.006293056537560293,270139,vulgatus
ERR912041,0.05962305268151098,212921,dorei
ERR912045,0.007501245462956373,281020,vulgatus
ERR912048,0.005053656776986203,277225,vulgatus
ERR912053,0.006910891162763017,268851,vulgatus
ERR912061,0.006191403420114287,282973,vulgatus
ERR912068,0.060153603523735756,214318,dorei
ERR912071,0.006555914896007809,284781,vulgatus
ERR912074,0.06516354536824533,274939,dorei
ERR912080,0.006925261097748415,285621,vulgatus
ERR912084,0.06549466704997435,274801,dorei
ERR912087,0.0059063791692602514,285962,vulgatus
ERR912089,0.007727336910477266,283280,vulgatus
ERR912090,0.007616830433764336,286077,vulgatus
ERR912091,0.06535385422970086,274322,dorei
ERR912093,0.005948600702823998,283428,vulgatus
ERR912100,0.06506122685436626,276186,dorei
ERR912104,0.009455698104567213,279514,vulgatus
ERR912110,0.007398364831206113,284252,vulgatus
ERR912111,0.005910950998565982,285910,vulgatus
ERR912113,0.06609599421536798,273829,dorei
ERR912116,0.05992451918160945,215154,dorei
ERR912119,0.059958509099813796,216433,dorei
ERR912126,0.06470825798893211,274849,dorei
ERR912128,0.005571196250896183,285935,vulgatus
ERR912131,0.0061767733712436886,285586,vulgatus
ERR912132,0.006181720170399851,285681,vulgatus
ERR912134,0.06504901301561801,275131,dorei
ERR912135,0.0074428533058143315,282956,vulgatus
ERR912136,0.0061282494690611455,283931,vulgatus
ERR912137,0.06549988485705827,273573,dorei
ERR912142,0.059667334369208305,213668,dorei
ERR912145,0.007431421975372367,282853,vulgatus
ERR912149,0.006320165738122567,285752,vulgatus
ERR912152,0.0636784140168816,275211,dorei
ERR912153,0.0064161607703579655,286620,vulgatus
ERR912156,0.0656683406153121,275795,dorei
ERR912159,0.0059487901918188445,286781,vulgatus
ERR912160,0.006266517247759589,286443,vulgatus
ERR912161,0.06607582435935605,275426,dorei
ERR912163,0.06586133077023898,274668,dorei
ERR912181,0.06503254730585706,273909,dorei
ERR912189,0.007365013010581469,283231,vulgatus
ERR912190,0.007067312096166177,283842,vulgatus
ERR912192,0.005888426869087154,286664,vulgatus
ERR912197,0.06510624876220375,272662,dorei
ERR912199,0.05815216135665273,216415,dorei
ERR912201,0.05925093184299885,217043,dorei
1089274-24-7-0_,0.006335099333091929,284447,vulgatus
1089279-24-0-0_,0.006409109334657761,273829,vulgatus
1089279-24-28-0_,0.006349241161505395,273576,vulgatus
1089279-24-7-0_,0.006423764282120644,274294,vulgatus
donald4-11-30-0_,0.0056099408151244,285208,vulgatus
donald4-11-7-0_,0.005595347027208953,285237,vulgatus
mickey3-11-30-0_,0.0058544370842219745,283204,vulgatus
mickey4-11-0-0_,0.005837132354239425,283187,vulgatus
mickey4-11-30-0_,0.005851112664816345,283194,vulgatus
mickey4-11-7-0_,0.005835525038391612,283265,vulgatus
pluto4-11-7-0_,0.006263717649772409,277471,vulgatus
