species_name,category,label,n_pairs,dS,dS_lo,dS_hi,dNdS,dNdS_lo,dNdS_hi,dS_p16,dS_p84,dNdS_p16,dNdS_p84
Phascolarctobacterium_sp_59817,typical,Phascolarctobacterium_sp_59817,100,0.022410284695440864,0.020629652806944558,0.02443590981865961,0.10154723842483424,0.0986579221965169,0.10439705885140202,0.015569247062871194,0.034686579601592486,0.09117143744768887,0.11618125619730062
Bacteroides_coprocola_61586,typical,Bacteroides_coprocola_61586,100,0.02376708149432846,0.022832736944521478,0.024575104748167244,0.10201121584613926,0.09837831750840112,0.10608610870341825,0.020401196464829307,0.026943053152625414,0.0804855120209247,0.11917958362494137
Faecalibacterium_cf_62236,typical,Faecalibacterium_cf_62236,100,0.024731855128567903,0.02384870352475424,0.025760358368855894,0.12140809492565585,0.11899678372874767,0.12340449933842657,0.02207500301112288,0.02871162175048277,0.11721058291600628,0.12857500378320144
Bacteroides_cellulosilyticus_58046,typical,Bacteroides_cellulosilyticus_58046,100,0.025287320788449558,0.022839987310325983,0.0280527051490651,0.10269199083587736,0.09929979317986289,0.10625218258336241,0.017289323457899478,0.02574862820634616,0.10435811042850408,0.11588991400289558
Bacteroides_finegoldii_57739,typical,Bacteroides_finegoldii_57739,100,0.025567892661143538,0.022687649312382,0.02833634067062461,0.1129651321016271,0.11039018191542076,0.11616476315297568,0.008927748198590463,0.04159793631848146,0.10286897647503704,0.1497797578829851
Alistipes_onderdonkii_55464,typical,Alistipes_onderdonkii_55464,100,0.026422269591389096,0.024942602966300888,0.028010134774930875,0.13500460275224388,0.13403521780903108,0.1358824352978274,0.019937579936652162,0.03834089246978248,0.1307879508450063,0.1398021299764395
Bacteroides_stercoris_56735,typical,Bacteroides_stercoris_56735,100,0.027455805447180022,0.026617262663998303,0.02835343598313209,0.09609009379546782,0.09553069969986655,0.09662206985108937,0.022578743327008335,0.0321949001272819,0.09406310228926426,0.09868344850916777
Bacteroides_thetaiotaomicron_56941,typical,Bacteroides_thetaiotaomicron_56941,100,0.0276268809671813,0.026912659876941285,0.028342615363411285,0.08999332266115605,0.0892149734783882,0.09077129265016738,0.02402751316456943,0.030635517665567862,0.0867055957021808,0.09354913665674292
Bacteroides_xylanisolvens_57185,typical,Bacteroides_xylanisolvens_57185,100,0.0279550359792132,0.02741307226728012,0.0285490668506262,0.08479789417904271,0.08350062626610627,0.08596405699634387,0.0252780074989852,0.03027351171002904,0.08056813074413453,0.09055187939132167
Parabacteroides_distasonis_56985,typical,Parabacteroides_distasonis_56985,100,0.028162060979889707,0.026574332218484306,0.029808427925765917,0.09099545593605235,0.09006227999790305,0.0918888168101037,0.0192324140135436,0.03671151125751782,0.08738102504359892,0.09800864843473442
Oscillibacter_sp_60799,typical,Oscillibacter_sp_60799,100,0.030663140130420874,0.02867428827857563,0.03285134154272417,0.14053199895148463,0.13819451741557068,0.1430368801775146,0.022601825874097793,0.044560459824772115,0.12995208876383121,0.15379268596879242
Ruminococcus_bromii_62047,typical,Ruminococcus_bromii_62047,100,0.03089662953947067,0.029615562371184047,0.03226960806349126,0.11289076736423125,0.11100999544155433,0.11460205858182791,0.0256648391006123,0.03488539100151341,0.11113061254766218,0.11885318417770911
Barnesiella_intestinihominis_62208,typical,Barnesiella_intestinihominis_62208,100,0.031165849893679015,0.03085255815460231,0.03148731357510145,0.11811349437792498,0.117512574713464,0.11872441838362162,0.030002518653291,0.03225032080484245,0.11589148918289015,0.12107658346005512
Akkermansia_muciniphila_55290,typical,Akkermansia_muciniphila_55290,100,0.031320300237527125,0.02994214695564101,0.03253441280671312,0.14736530571059056,0.1464845153086129,0.14837603578392686,0.0249660513011372,0.036825372006553,0.14404173639444412,0.15024965520256145
Roseburia_inulinivorans_61943,typical,Roseburia_inulinivorans_61943,100,0.03510340546942356,0.0345442741312414,0.03565023895142181,0.09215283554958047,0.09168856573168113,0.09262946298740338,0.032459596614133245,0.038704446527654465,0.09007867656926369,0.09430059308571703
Dialister_invisus_61905,typical,Dialister_invisus_61905,100,0.037082145091987054,0.03671620122297251,0.037459681587175865,0.13355265813469946,0.13290368243662498,0.1341038867046737,0.03520923919255433,0.03867532194568977,0.13077239672186866,0.1359108659944307
Ruminococcus_bicirculans_59300,typical,Ruminococcus_bicirculans_59300,100,0.03753986217297803,0.03689923621613262,0.038185642640532536,0.09782521639547535,0.09741621104476335,0.09823281442827037,0.034998407115002815,0.04290384479132592,0.0960300444553621,0.09970772849624128
Faecalibacterium_prausnitzii_62201,typical,Faecalibacterium_prausnitzii_62201,100,0.03797833262873035,0.0369677256967201,0.03905570615691397,0.12949757373768686,0.12638069410829414,0.1331367102660004,0.03230253400414763,0.04296788852728136,0.11431816780269312,0.1565375432619974
Faecalibacterium_prausnitzii_61481,typical,Faecalibacterium_prausnitzii_61481,100,0.038432475827034275,0.03790707320167128,0.03897188433277259,0.10080857900583777,0.10025974924144941,0.10137233517732763,0.03630011894162715,0.04185110015995892,0.09813476239985275,0.10320336866339914
Eubacterium_rectale_56927,typical,Eubacterium_rectale_56927,100,0.038852429727511614,0.03751256029858765,0.04026471580647445,0.09335249018172662,0.09190083138598339,0.0947215271438261,0.031314315899505805,0.04935652834580652,0.08608051421433224,0.09950778573938954
Escherichia_coli_58110,typical,Escherichia_coli_58110,100,0.03907228192708397,0.035767661375875254,0.04240972597268839,0.06144795492000045,0.05977005179206128,0.06305620362006682,0.019486970374828133,0.05628621668893951,0.054953233962455245,0.07487421544203432
Eubacterium_eligens_61678,typical,Eubacterium_eligens_61678,100,0.039718449549477626,0.037464945547598494,0.041918788243087986,0.08301828868844773,0.08181644853572183,0.08431845764686519,0.02670156994878671,0.054927271548309904,0.07697121588272843,0.09205862030890596
Prevotella_copri_61740,typical,Prevotella_copri_61740,100,0.03994764568469638,0.03727472709081548,0.042635300876901344,0.09342193223012535,0.09098052294271108,0.0957235927190874,0.019979607349599936,0.049102565992126854,0.08628760761268318,0.11395182954135226
Eubacterium_siraeum_57634,typical,Eubacterium_siraeum_57634,100,0.052312264348210326,0.05054152189906566,0.054267852882047184,0.08181736953182524,0.08122994987700577,0.08228845163851539,0.04126920431465005,0.06093734356827998,0.0786684379207051,0.08406583402864075
Faecalibacterium_prausnitzii_57453,typical,Faecalibacterium_prausnitzii_57453,100,0.05669265154924813,0.05450065406864977,0.05921259225799069,0.06983164744527084,0.06941804483660372,0.07017147304168347,0.04753237705563707,0.07617237358225515,0.06793154831696056,0.07177396608173965
Bacteroides_plebeius_61623,typical,Bacteroides_plebeius_61623,100,0.06194571906556599,0.05849320805479071,0.0653717739129045,0.04921153741485275,0.04839677526231506,0.05008349089935661,0.03826909867732168,0.08111588415473095,0.044098272436139285,0.05381128193546625
Bacteroides_vulgatus_57955,cross_clade,Bacteroides_vulgatus_57955 [cross],100,0.0650234349942452,0.06430822252924537,0.06573813431819368,0.09690714266967686,0.09586340469854208,0.09787583527132668,0.06135195878474105,0.06904945248459661,0.09187252630206373,0.10284857313672593
