,syn rates,syn SE,ns rates,ns SE,ms rates,ms SE
Bacteroides_uniformis_57318,-1.8545526870166869,0.002267894951568753,-3.485379932588495,0.03360671486894573,-2.700192670142728,0.0029389876976511436
Faecalibacterium_prausnitzii_57453,-1.2685248171540868,0.0010469822093747245,-3.5314284235113615,0.0408549873652533,-2.405004254858681,0.002034752156706506
Coprococcus_sp_62244,-1.7568133066710543,0.001621698915789606,-3.7021728165281544,0.033707789025393835,-2.636860163076452,0.0021307128725620863
Oscillibacter_sp_60799,-1.5325908780723798,0.001430769368461771,-3.48347949794915,0.0379444849086047,-2.3621668588449287,0.0019463350760308329
Eubacterium_rectale_56927,-1.423078891428018,0.0011041567521616197,-3.5661821411818053,0.02698574602215975,-2.4332361286182533,0.0016345583028807898
Alistipes_onderdonkii_55464,-1.5284820741747915,0.0010343717023937758,-3.5181138245075885,0.02803358823576946,-2.386567985666657,0.001469056614419363
Prevotella_copri_61740,-1.4386066839849263,0.0012113139298625113,-3.583168615257895,0.031674179991698796,-2.43530939532185,0.0017976005131070728
Alistipes_sp_60764,-1.9008582791748465,0.0015987142376192426,-3.6777300882435355,0.03412139701138159,-2.7118497351482325,0.002149709279775225
Escherichia_coli_58110,-1.3913594489173107,0.0011855618803347323,-3.4943744180011342,0.03237039836373576,-2.5988556984210502,0.002465871326447477
Bacteroides_ovatus_58035,-1.746350881501131,0.0021156671942775375,-3.948420448757931,0.05560571002032027,-2.715781958410062,0.0030957919331986417
Dialister_invisus_61905,-1.437673587363155,0.0011896111952785127,-3.4241163214193935,0.026933800397209266,-2.2909160667851265,0.0015766071658523957
Alistipes_putredinis_61533,-1.6741728891403331,0.0013721116840304211,-3.2123259699658613,0.02116621793075127,-2.4701141471312926,0.0018002394778448682
Bacteroides_cellulosilyticus_58046,-1.668285457119244,0.0011011358954062577,-3.949586161734752,0.032643571888971656,-2.6142705699159956,0.0015784492901962642
Eubacterium_siraeum_57634,-1.2692771725187546,0.0009508375670568007,-3.4731438182721828,0.027802854763944302,-2.3569511948079773,0.0015915484973437906
Ruminococcus_bicirculans_59300,-1.4410104585721797,0.001030599034148072,-3.5286234710438156,0.025285602305161824,-2.433105345936936,0.0015137726299719583
Parabacteroides_merdae_56972,-1.701917536254084,0.0011994888527903796,-3.774249250777042,0.028574479003999054,-2.633259378153831,0.0017099003063287639
Bacteroides_plebeius_61623,-1.2264043347768256,0.0009258915906189652,-3.6358294715310047,0.031507032317122055,-2.4999850250915143,0.0019373865401632747
Phascolarctobacterium_sp_59817,-1.6185953504586392,0.001256730439111974,-3.7892837273260325,0.034550613617688485,-2.6038665330209216,0.0019401103964283646
Bacteroides_stercoris_56735,-1.5915313983074626,0.00106449522120005,-3.6984626209047744,0.027633496147515955,-2.5886693579122753,0.0016492367283728116
